severity,seed,H,val_n,val_pos,dr_ece_raw,dr_auc_raw,dr_ece_cal,dr_auc_cal
4,123,30,163,87,0.500221689008862,0.38505747126436785,0.1825175928482361,0.4758771929824561
4,123,50,163,102,0.6048577490485518,0.39762134361941504,0.2808585044555009,0.4181131468981035
4,456,10,163,61,0.32400945756881516,0.4496946319511411,0.04754925181018321,0.5
4,456,20,163,75,0.4260531623213569,0.356060606060606,0.10496380775664496,0.41075757575757577
4,456,30,163,87,0.5014640951266319,0.39019963702359345,0.18709336424387604,0.42506049606775553
4,456,50,163,102,0.6058965865865441,0.3870138219222115,0.27832763089450796,0.4087913854066217
4,789,10,163,61,0.3302773373898553,0.44053359048537444,0.05033288227908029,0.5049019607843137
4,789,20,163,75,0.431982546496245,0.3642424242424243,0.1136903178509656,0.4304545454545454
4,789,30,163,87,0.5011338028439716,0.39428312159709616,0.18891158513803288,0.45750151240169384
4,789,50,163,102,0.5991414210022044,0.37881710061073615,0.2874510627340856,0.37005785920925743
4,101112,10,163,61,0.3199186992197315,0.4566859530697525,0.05636190142664192,0.5147058823529411
4,101112,20,163,75,0.425820468542126,0.38106060606060604,0.10526824287031025,0.4513636363636363
4,101112,30,163,87,0.49583731477428794,0.4219600725952813,0.18783726090332736,0.4677858439201452
4,101112,50,163,102,0.599034610152976,0.42526518804243013,0.28257751930679015,0.41385406621665066
