severity,seed,H,ece_pert,ece_ablat,delta_ece,frac_recovered,auc_pert,auc_ablat,val_n,val_pos
3,123,30,0.38080624282563363,0.12345855149166174,-0.2573476913339719,0.6757969339589008,0.5055202661826981,0.6461736237144585,163,87
3,123,50,0.4972484216104862,0.275163859815237,-0.2220845617952492,0.44662698189360284,0.5981195756991321,0.6367727418836386,163,102
3,456,10,0.3115352339376306,0.06307522256528615,-0.24846001137234447,0.7975342250439839,0.5628415300546448,0.6383799421407907,163,61
3,456,20,0.3035222965815695,0.04579839167299463,-0.25772390490857483,0.84911028880316,0.563939393939394,0.8743181818181819,163,75
3,456,30,0.3766284113134551,0.1265146130804287,-0.2501137982330264,0.6640863798904038,0.5158802177858439,0.6654567453115547,163,87
3,456,50,0.4959912899819188,0.27475989752095525,-0.22123139246096357,0.44603886586199626,0.5804403728704597,0.6373352619736419,163,102
3,789,10,0.31136340349539565,0.06279868859556405,-0.24856471489983162,0.7983106303098569,0.5721632915461267,0.6432015429122468,163,61
3,789,20,0.30506390350965695,0.05028358718554779,-0.25478031632410914,0.8351703147863377,0.5732575757575757,0.8797727272727273,163,75
3,789,30,0.38216904648453165,0.13708329858663426,-0.2450857478978974,0.6413019320962126,0.5319116757410769,0.6653055051421658,163,87
3,789,50,0.49412176316122447,0.2749287357978878,-0.21919302736333668,0.4436012410402925,0.5789135326261653,0.6367727418836386,163,102
3,101112,10,0.31204192722134366,0.05393980169154082,-0.25810212552980283,0.8271392496134689,0.5654934104789456,0.6432015429122468,163,61
3,101112,20,0.3051356238763652,0.043355752247068134,-0.2617798716292971,0.8579131741607626,0.5777272727272728,0.8631818181818182,163,75
3,101112,30,0.37917253915899923,0.13847137960017789,-0.24070115955882135,0.6348064131772149,0.5198880822746521,0.6653055051421658,163,87
3,101112,50,0.49812159206296497,0.2745066942236691,-0.2236148978392959,0.4489162915287356,0.5836547733847638,0.6367727418836386,163,102
4,42,10,0.3273025487403387,0.052711176147423246,-0.27459137259291544,0.8389527476938745,0.6730954676952747,0.6239151398264224,163,61
4,42,20,0.31690569959600884,0.03067907511274591,-0.2862266244832629,0.9031917849636167,0.6968939393939395,0.861969696969697,163,75
4,42,30,0.39466142973221235,0.11979821860792621,-0.27486321112428613,0.6964531885236105,0.6827737447065941,0.646249243799153,163,87
4,42,50,0.48135161013311717,0.2839459584330869,-0.19740565170003027,0.41010697283309805,0.7675184828029573,0.6325940212150434,163,102
4,123,10,0.326207665772583,0.05774215240800293,-0.26846551336458,0.8229895907833812,0.6635326261652201,0.6142719382835101,163,61
4,123,20,0.3123768731536366,0.017623518968940682,-0.29475335418469595,0.943582510475182,0.6553787878787878,0.8391666666666666,163,75
4,123,30,0.40008623543277516,0.11483451503581481,-0.28525172039696034,0.7129755915956524,0.6218995765275257,0.6398971566848154,163,87
