severity,seed,H,cal_frac,ece_cal,ece_recal,n_cal,n_eval
3,789,30,0.1,0.39401616421110985,0.1766160551686676,16,147
3,789,30,0.2,0.39422657713593656,0.13642043318912273,32,131
3,789,30,0.5,0.3912599878782477,0.07018920433957404,81,82
3,789,50,0.05,0.48451369620682255,0.14975401893738782,8,155
3,789,50,0.1,0.48374438056597674,0.08865227882883381,16,147
3,789,50,0.2,0.5081339878397664,0.08651396336446278,32,131
3,789,50,0.5,0.515699462151713,0.03854814208135369,81,82
3,101112,10,0.05,0.29833693693269614,0.3784441509073781,8,155
3,101112,10,0.1,0.3230352263293674,0.19908210637996632,16,147
3,101112,10,0.2,0.3171451636921842,0.0036484485364142263,32,131
3,101112,10,0.5,0.31098767294258783,4.506692653749047e-08,81,82
3,101112,20,0.05,0.3158092904850379,0.3886960651785616,8,155
3,101112,20,0.1,0.3034007446849308,0.19694431318717748,16,147
3,101112,20,0.2,0.2497831247736204,0.1908254932384682,32,131
3,101112,20,0.5,0.27267186664168247,0.09996283526827651,81,82
3,101112,30,0.05,0.3817676685737341,0.11197449472402374,8,155
3,101112,30,0.1,0.3958443141024269,0.15438009804703903,16,147
3,101112,30,0.2,0.3896426655080821,0.22209200149274055,32,131
3,101112,30,0.5,0.385588390131855,0.032440240790204314,81,82
3,101112,50,0.05,0.5042380333053976,0.19723439816265334,8,155
3,101112,50,0.1,0.4829772597686482,0.1190507658788947,16,147
3,101112,50,0.2,0.49988649677420877,0.023432669293789482,32,131
3,101112,50,0.5,0.49203006168618835,0.04943688783976359,81,82
4,42,10,0.05,0.3385382634737384,0.1677420073939908,8,155
4,42,10,0.1,0.3341199673149141,0.08962089915563458,16,147
4,42,10,0.2,0.34892339742339235,0.05371501291071184,32,131
4,42,10,0.5,0.38388372343742727,0.11178861740158824,81,82
4,42,20,0.05,0.32286914430648783,0.0641570053423845,8,155
4,42,20,0.1,0.3187516655443214,0.06675062766362004,16,147
4,42,20,0.2,0.30093838617598956,0.17820364032082883,32,131
4,42,20,0.5,0.34685414946785326,0.101524478960328,81,82
4,42,30,0.05,0.3924381016283623,0.14364699394472183,8,155
4,42,30,0.1,0.3738546572000347,0.12111390916770011,16,147
4,42,30,0.2,0.383911640737498,0.03259422991225738,32,131
